Title,Description,Started On,Finished On,Association
"Bearings loading test rig","Conceptual design of a novel bearings loading test rig aimed at validating bearings NTIs. Investigated on modeling methods of EM coupling between power (variable speed drive system) and signals cabling systems to predict potential interference issues.",05/2018,12/2018,"Baker Hughes, a GE Company"
"GE Aviation's Catalyst","Led special instrumentation design and global technical reviews of FETT with design and testing teams (Czech Rep., Poland, USA, Canada). Contributed to >4M$ cross-P&L project and customer satisfaction.",06/2017,12/2018,"Baker Hughes, a GE Company"
"Gas Turbine embedded SAW sensors","Advised an MSc student at the University of Florence on SAW sensor high-frequency numerical modeling for accurate temperature measurement control.",02/2018,12/2018,"Baker Hughes, a GE Company"
"LM9000: 65MW aeroderivative gas turbine","Contributed to conceptual instrumentation design and test rigs erection, data acquisition architecture and control system design by technical and HAZOP reviews.",06/2018,12/2018,"Baker Hughes, a GE Company"
"Cross'd","Social networking app PoC based on Bluetooth Low Energy ranging. PoC with Apache Cordova and an AWS EC2 instance.",01/2018,11/2018,
"BLE Asset Tracking","Sub 5$/Unit PoC of BLE tags (TI's CC2640) with firmware optimized for long-battery life, aimed at asset tracking and inventory management.",07/2017,09/2017,
"GE Power slip-ring digital telemetry","Ran Ansys HFSS simulations to optimize signal integrity over slip-ring connections (power supply and ethernet transmission lines). Achieved shrinking of the rings spacing leading to manufacturing costs reduction. 4 weeks-FTE cross-P&L billing and customer satisfaction.",04/2017,05/2017,"Baker Hughes, a GE Company"
"Wet gas compressors at KLAB","Designed and procured validation equipment for ATEX zone 1 test bench. Developed Ex-d antenna and low noise amplifier system for GPS synchronization on NI's PXI systems. Managed IEC 60079-11 simple apparatus compliance on load cells upon using extremely low voltage (1.5V) Ex-ia Wheatstone bridge conditioners.",02/2016,06/2016,"GE Oil & Gas"
"Power density compressor","Led the commissioning Fieldbus Foundation use in testing lab for more than 240 pressure transducers (0.1% uncertainty) upon identifying the proper Firmware configuration which enabled for massive and accurate pressure measurements. Managed capacitive vibration probes ATEX-compliance and developed an electrostatic model to predict how capacitance changes with different environments and target shapes. Contributed to DM37/08 compliance of the test rig contract specification, including power and signaling cabling selection and proper installation.",03/2014,05/2016,"GE Oil & Gas"
"SNC1-2 steam turbine performance evaluation in 6.2MW cogeneration plant","Defined novel pressure hookups method at lower cost and better performance to achieve accuracy controlled inter-stage enthalpy measurements according to ASME PTC 19.11. Programmed a CAN to Modbus TCP embedded module to enable static torque measurements on a MagCanica telemetry.",09/2015,04/2016,"GE Oil & Gas"
"GE-6G PowerGen Module Structural Vibrations Monitoring System","Developed an ATEX-compliant distributed acquisition system for more than 150 vibration measurement points, with 40kHz analog bandwidth, WiFi5 backhaul to storage and real-time monitoring, including GPS or daisy-chain clock distribution synchronization. Designed 3D assemblies and bills of materials for timely delivery and cost optimization of certified equipment in less than 4 months (vs typ. 8 months). Collaborated with third-party metrology to deploy software-based velocity and displacement real-time computation from accelerometers, generating direct $150k savings and measurable OPEX benefits.",11/2015,03/2016,"GE Oil & Gas"
"NovaLT16 gas turbine, bearings and cooling component tests","Design and validation of smartbox (field datalogger) for analog signals. Defined EMC-aware measurement loops design to achieve noise immunity and enhanced measurement accuracies, rigorously applying EN 61000 guidelines (CENELEC 25).",04/2014,10/2015,"GE Oil & Gas"
"GE Aviation's GE9X High Pressure Compressor","High density data acquisition system design for GE Aviation's compressor test in Massa. Performed mitigation on EMC noise due to 130kW variable speed ventilation system.",01/2014,04/2014,"GE Oil & Gas"
"BCL306 and BCL317 centrifugal compressors rotordynamics","Performed an Ex-p execution of stability's magnetic exciter, contributed to the resolution of customer's opened nonconformity on rotordynamic vibrations upon conducting an electromagnetic interference on Bently Nevada's 3500 RCA.",06/2013,03/2014,"GE Oil & Gas"
"Finite Element Software (FES)","FES is an open source C++ framework for the development of ad-hoc simulation software aimed at a rapid implementation of novel numerical methods based on the Galerkin method. Core formulations validated reusing meshes from commercial packages (Comsol, HFSS).",06/2011,02/2014,"Università degli Studi di Firenze"
"Phased array antennas model order reduction","Developed in Matlab efficient near-to-far-fields formulations for fast electromagnetic radiation computation in large finite elements problems exploiting model order reduction with spectral interpolation for beam steering and pattern angles. Modeled a large patch antenna array, assessing accuracy and performances through mesh/model export from Ansoft HFSS v11.",10/2009,02/2010,"Universität des Saarlandes"
"RS-232 modem in ISM 868 MHz band","Designed and prototyped an 868 MHz wireless link for a ground penetration radar remote control over RS-232 protocol. C-coded the PIC microcontroller firmware and optimized it in Assembly to guarantee full-duplex operation over half-duplex TI's CC1100 radio. Evaluated the performance of the wireless link in open field.",01/2007,04/2007,"University of Florence"
